win%,rpg,runs,2b,3b,hr,rbi,bb,so,batting avg,obp,slg,ops,tb,era,tshutout,saves,HRa,Ks,whip,po,a,e,dp,fld%
0.574,5.01,812,314,39,220,776,578,1456,0.254,0.329,0.445,0.774,2457,3.66,11,43,171,1482,1.266,4323,1604,108,140,0.982
0.444,4.52,732,289,26,165,706,474,1184,0.263,0.326,0.412,0.738,2303,4.72,6,36,192,1258,1.42,4324,1578,97,137,0.984
0.463,4.59,743,269,12,232,713,392,1412,0.26,0.312,0.435,0.747,2458,4.97,10,35,242,1233,1.446,4323,1609,94,177,0.984
0.574,4.85,785,302,19,168,735,571,1224,0.258,0.329,0.407,0.736,2305,3.7,11,39,195,1580,1.247,4447,1390,107,127,0.982
0.568,5.07,822,274,29,223,785,622,1401,0.255,0.338,0.437,0.775,2403,3.95,8,38,194,1439,1.277,4342,1656,95,139,0.984
0.414,4.36,706,256,37,186,670,401,1397,0.256,0.314,0.417,0.731,2300,4.78,3,25,242,1193,1.418,4265,1541,114,157,0.981
0.42,4.65,753,249,38,219,715,565,1329,0.253,0.329,0.433,0.761,2372,5.17,8,33,248,1300,1.45,4290,1623,81,133,0.986
0.63,5.05,818,333,29,212,780,604,1153,0.263,0.339,0.449,0.788,2476,3.3,19,37,163,1614,1.161,4322,1447,76,167,0.987
0.537,5.09,824,293,38,192,793,519,1408,0.273,0.338,0.444,0.781,2455,4.51,9,47,190,1270,1.381,4313,1730,77,168,0.987
0.395,4.54,735,289,35,187,699,503,1313,0.258,0.324,0.424,0.748,2355,5.36,4,32,218,1202,1.495,4261,1389,85,147,0.985
0.623,5.53,896,346,20,238,854,509,1087,0.282,0.346,0.478,0.823,2681,4.12,9,45,192,1593,1.27,4338,1526,99,153,0.983
0.494,4.33,702,260,24,193,660,390,1166,0.259,0.311,0.42,0.731,2323,4.61,6,39,196,1216,1.39,4313,1524,79,145,0.987
0.494,4.38,710,251,14,186,678,523,1198,0.243,0.315,0.397,0.712,2151,4.2,10,43,224,1312,1.279,4322,1462,80,135,0.986
0.642,4.75,770,312,20,221,730,649,1380,0.249,0.334,0.437,0.771,2362,3.38,16,51,184,1549,1.155,4334,1367,88,131,0.985
0.475,4.8,778,271,31,194,743,486,1282,0.267,0.331,0.431,0.761,2412,4.82,7,34,193,1202,1.44,4328,1554,73,156,0.988
0.531,4.52,732,267,22,224,695,547,1571,0.249,0.322,0.429,0.751,2346,4,12,54,185,1346,1.338,4337,1624,115,164,0.981
0.525,5.03,815,286,31,206,781,593,1342,0.26,0.334,0.434,0.767,2409,4.59,11,42,224,1166,1.372,4308,1477,78,144,0.987
0.432,4.54,735,286,28,224,713,529,1291,0.25,0.32,0.434,0.755,2393,5.01,5,34,220,1374,1.485,4304,1456,92,125,0.984
0.562,5.3,858,266,23,241,821,616,1386,0.262,0.339,0.447,0.785,2498,3.72,7,36,192,1560,1.209,4346,1468,95,102,0.984
0.463,4.56,739,305,15,234,708,565,1491,0.246,0.319,0.436,0.755,2381,4.68,6,35,210,1202,1.36,4293,1597,121,162,0.98
0.407,4.26,690,287,36,174,654,494,1417,0.25,0.315,0.409,0.723,2263,4.55,7,33,221,1309,1.387,4323,1497,82,146,0.986
0.463,4.12,668,249,36,151,635,519,1213,0.244,0.318,0.386,0.704,2105,4.22,12,36,182,1262,1.371,4322,1662,99,156,0.984
0.438,3.73,604,227,31,189,576,460,1499,0.234,0.299,0.393,0.692,2107,4.67,12,45,226,1325,1.378,4292,1623,113,177,0.981
0.481,4.63,750,281,17,200,714,487,1267,0.259,0.325,0.424,0.749,2351,4.46,9,39,237,1244,1.312,4321,1422,103,147,0.982
0.395,3.94,639,290,28,128,612,467,1204,0.249,0.309,0.38,0.689,2112,4.5,5,32,182,1234,1.385,4356,1522,87,127,0.985
0.512,4.7,761,284,28,196,728,593,1348,0.256,0.334,0.426,0.76,2330,4.01,12,43,183,1351,1.3,4351,1594,94,164,0.984
0.494,4.28,694,226,32,228,671,545,1538,0.245,0.317,0.422,0.739,2314,3.97,9,53,193,1352,1.264,4335,1433,100,129,0.983
0.481,4.93,799,255,21,237,756,544,1493,0.244,0.32,0.43,0.75,2334,4.66,6,29,214,1107,1.396,4303,1616,108,173,0.982
0.469,4.28,693,269,5,222,661,542,1327,0.24,0.312,0.412,0.724,2265,4.42,6,45,203,1372,1.371,4395,1570,92,145,0.985
0.599,5.06,819,311,31,215,796,542,1327,0.266,0.332,0.449,0.782,2495,3.88,5,46,189,1457,1.241,4340,1434,86,139,0.985
